Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Address Type,City,Landmark,Facility Type,Status,Resolution Description,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Response Time (hrs),Hour,Weekday,Month,Date,Day of Week
50470017,2021-05-04 09:25:50,2024-12-31 12:11:26,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,11229.0,ADDRESS,BROOKLYN,EAST   22 STREET,,Closed,"Under NYC Parksâ Tree Risk Management Program, work is prioritized to address the conditions with the highest risk first.  NYC Parks determined that the issue will be addressed in the next pruning cycle through the routine block pruning program.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",15 BROOKLYN,3073010050.0,BROOKLYN,998151.0,158696.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.60224925697826,-73.94994010715294,32090.76,9,Tuesday,5,2021-05-04,Tuesday
51378788,2021-07-30 12:10:38,2024-11-12 16:18:04,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11204.0,ADDRESS,BROOKLYN,59 STREET,,Closed,"NYC Parks inspected and determined this site does not rate high enough to be repaired by NYC Parks at this time.   We understand conditions may become worse over time. In three years, you may submit a service request via 311, the Parks website, or NYC Tree Map for a new inspection.   You can repair the sidewalk yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website.",12 BROOKLYN,3055070071.0,BROOKLYN,989446.0,164931.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.61937242897032,-73.98128351071519,28828.123888888887,12,Friday,7,2021-07-30,Friday
47084596,2020-08-03 11:59:50,2025-01-10 02:54:30,DOHMH,Department of Health and Mental Hygiene,Day Care,Day Care Facility,Other,11233.0,ADDRESS,BROOKLYN,PACIFIC STREET,,Closed,The NYC Health Department has investigated your complaint. You can get the status by calling 311 or (646) 632-6101 on weekdays between 9 AM and 5 PM. This service request has been closed.,16 BROOKLYN,3014310054.0,BROOKLYN,1006072.0,185610.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.676106433366165,-73.92132818939125,38894.91111111111,11,Monday,8,2020-08-03,Monday
47090038,2020-08-04 14:35:33,2024-11-12 16:09:26,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,10473.0,ADDRESS,BRONX,TURNBULL AVENUE,,Closed,NYC Parks performed the work necessary to correct the condition.,09 BRONX,2036790068.0,BRONX,1024551.0,239270.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.82332451728292,-73.85438694757093,37465.564722222225,14,Tuesday,8,2020-08-04,Tuesday
47287827,2020-08-18 06:59:48,2025-01-10 02:54:43,DOHMH,Department of Health and Mental Hygiene,Day Care,Day Care Facility,Other,11233.0,ADDRESS,BROOKLYN,PACIFIC STREET,,Closed,The NYC Health Department has investigated your complaint. You can get the status by calling 311 or (646) 632-6101 on weekdays between 9 AM and 5 PM. This service request has been closed.,16 BROOKLYN,3014310054.0,BROOKLYN,1006072.0,185610.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.676106433366165,-73.92132818939125,38539.91527777778,6,Tuesday,8,2020-08-18,Tuesday
53796339,2022-03-31 14:05:34,2025-01-09 15:52:46,DOHMH,Department of Health and Mental Hygiene,Day Care,Day Care Facility,Public School,11233.0,ADDRESS,BROOKLYN,PACIFIC STREET,,Closed,The NYC Health Department has investigated your complaint. You can get the status by calling 311 or (646) 632-6101 on weekdays between 9 AM and 5 PM. This service request has been closed.,16 BROOKLYN,3014310054.0,BROOKLYN,1006126.0,185607.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.676098065765615,-73.92113352057135,24361.786666666667,14,Thursday,3,2022-03-31,Thursday
64957576,2025-05-15 22:10:41,2025-05-30 05:03:06,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10461.0,ADDRESS,BRONX,,,Closed,An HPD Inspector was not able to gain access to inspect this complaint. The Inspector left a card at the time of the inspection and a letter was sent from HPD after the inspection attempt to encourage you to call to schedule an inspection. HPD did not receive a timely response from you and the complaint has been closed. Please submit a new service request with 311 if the condition still exists.,10 BRONX,2042480048.0,BRONX,1031790.0,250154.0,PHONE,Unspecified,BRONX,,,,,,,,40.85316188513956,-73.82815436025298,342.87361111111113,22,Thursday,5,2025-05-15,Thursday
54484272,2022-06-13 14:31:36,2025-01-09 15:53:26,DOHMH,Department of Health and Mental Hygiene,Day Care,Day Care Facility,Private School,11233.0,ADDRESS,BROOKLYN,PACIFIC STREET,,Closed,The NYC Health Department has investigated your complaint. You can get the status by calling 311 or (646) 632-6101 on weekdays between 9 AM and 5 PM. This service request has been closed.,16 BROOKLYN,3014310054.0,BROOKLYN,1006072.0,185610.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.676106433366165,-73.92132818939125,22585.36388888889,14,Monday,6,2022-06-13,Monday
54507012,2022-06-16 17:04:30,2025-01-02 09:04:30,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,11210.0,ADDRESS,BROOKLYN,NEW YORK AVENUE,,Closed,"Under NYC Parksâ Tree Risk Management Program, work is prioritized to address the conditions with the highest risk first.  NYC Parks determined that the issue will be addressed in the next pruning cycle through the routine block pruning program.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",18 BROOKLYN,3076330019.0,BROOKLYN,999995.0,166344.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62323835174882,-73.94328171461561,22336.0,17,Thursday,6,2022-06-16,Thursday
54508168,2022-06-16 17:10:38,2024-11-12 16:33:27,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11210.0,ADDRESS,BROOKLYN,NEW YORK AVENUE,,Closed,NYC Parks visited the location but could not find the tree condition you reported.,18 BROOKLYN,3076330019.0,BROOKLYN,999995.0,166344.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62323835174882,-73.94328171461561,21119.38027777778,17,Thursday,6,2022-06-16,Thursday
